,amin,amax,mean,median,var,std
,st_dist,st_dist,st_dist,st_dist,st_dist,st_dist
pl_discmethod,,,,,,
Astrometry,20.77,20.77,20.77,20.77,,
Eclipse Timing Variations,500.0,500.0,500.0,500.0,0.0,0.0
Imaging,7.69,165.0,70.13891891891892,45.52,2734.546321021022,52.292889775006905
Microlensing,600.0,8100.0,4280.763157894737,4100.0,5062699.482930299,2250.0443291033844
Orbital Brightness Modulation,1180.0,1180.0,1180.0,1180.0,0.0,0.0
Pulsar Timing,600.0,1200.0,750.0,600.0,90000.0,300.0
Pulsation Timing Variations,1400.0,1400.0,1400.0,1400.0,,
Radial Velocity,3.21,2200.0,67.93523381294963,44.05,15846.491976341633,125.88285020741162
Transit,12.04,8500.0,737.935778316172,687.0,241214.42137228764,491.13584818488624
Transit Timing Variations,66.0,2119.0,844.75,597.0,828684.25,910.3209598817332
